t,dy_left,dy_down,dy_up,dy_right,action
15.423,220,115,570,25,0
15.442,215,110,565,385,2
15.473,210,105,560,380,0
15.502,205,100,555,375,0
15.525,200,95,550,370,0
15.554,195,90,545,365,0
15.573,190,85,540,360,0
15.605,185,80,535,355,0
15.636,180,75,530,350,0
15.657,175,70,525,345,0
15.69,170,65,520,340,0
15.709,165,60,515,335,0
15.74,160,55,510,330,0
15.771,155,50,505,325,0
15.79,150,45,500,320,0
15.821,145,40,495,315,0
15.851,140,35,490,310,0
15.873,135,30,485,305,0
15.902,130,25,480,300,0
15.933,125,20,475,295,0
15.955,120,15,470,290,0
15.986,115,10,465,285,0
16.006,110,5,460,280,0
16.037,105,190,455,275,4
16.069,100,185,450,270,0
16.087,95,180,445,265,0
16.12,90,175,440,260,0
16.151,85,170,435,255,0
16.171,80,165,430,250,0
16.205,75,160,425,245,0
16.227,70,155,420,240,0
16.258,65,150,415,235,0
16.289,60,145,410,230,0
16.31,55,140,405,225,0
16.342,50,135,400,220,0
16.362,45,130,395,215,0
16.394,40,125,390,210,0
16.424,35,120,385,205,0
16.443,30,115,380,200,0
16.475,25,110,375,195,0
16.506,20,105,370,190,0
16.526,15,100,365,185,0
16.558,10,95,360,180,0
16.585,9999.0,90,355,175,1
16.608,9999.0,85,350,170,0
16.64,9999.0,80,345,165,0
16.661,9999.0,75,340,160,0
16.692,9999.0,70,335,155,0
16.724,9999.0,65,330,150,0
16.747,9999.0,60,325,145,0
16.779,9999.0,55,320,140,0
16.808,9999.0,50,315,135,0
16.828,9999.0,45,310,130,0
16.859,9999.0,40,305,125,0
16.878,9999.0,35,300,120,0
16.909,9999.0,30,295,115,0
16.939,9999.0,25,290,110,0
16.959,9999.0,20,285,105,0
16.991,9999.0,15,280,100,0
17.011,9999.0,10,275,95,0
17.041,9999.0,5,270,90,0
17.073,9999.0,175,265,85,4
17.093,9999.0,170,260,80,0
17.124,9999.0,165,255,75,0
17.155,9999.0,160,250,70,0
17.176,9999.0,155,245,65,0
17.207,9999.0,150,240,60,0
17.235,9999.0,145,235,55,0
17.257,9999.0,140,230,50,0
17.287,9999.0,135,225,45,0
17.306,9999.0,130,220,40,0
17.338,9999.0,125,215,35,0
17.368,9999.0,120,210,30,0
17.388,9999.0,115,205,25,0
17.419,9999.0,110,200,20,0
17.448,9999.0,105,195,15,0
17.469,9999.0,100,190,10,0
17.501,9999.0,95,185,570,2
17.528,9999.0,90,180,565,0
17.551,9999.0,85,175,560,0
17.583,9999.0,80,170,555,0
17.603,9999.0,75,165,550,0
17.632,9999.0,70,160,545,0
17.663,9999.0,65,155,540,0
17.685,9999.0,60,150,535,0
17.717,9999.0,55,145,530,0
